day,window,start_frame,end_frame,mean_observations_per_frame,sd_observations_per_frame
9,12,228621,246620,0.52416667,1.13091623
9,13,246621,264620,0.36127778,0.94597424
9,14,264621,282620,0.54183333,1.20153835
9,15,282621,300620,0.50738889,1.18829984
9,16,300621,318620,0.47300000,1.20080709
9,17,318621,336620,0.37272222,0.88519949
9,18,336621,354620,0.34527778,0.80750296
9,19,354621,372620,0.26727778,0.61568059
9,20,372621,390620,0.16911111,0.44914893
9,21,390621,408620,0.22805556,0.56049740
9,22,408621,426620,0.13594444,0.41755532
9,23,426621,444620,0.16083333,0.46220411
9,24,444621,462620,0.13838889,0.43806857
9,25,462621,480620,0.10100000,0.35121867
9,26,480621,498620,0.12811111,0.41476739
9,27,498621,516620,0.07144444,0.29174974
9,28,516621,534620,0.05472222,0.25917590
9,29,534621,552620,0.02294444,0.15411467
10,0,11303,29302,0.00994444,0.10198582
10,1,29303,47302,0.10177778,0.33362846
10,2,47303,65302,0.24477778,0.61452371
10,3,65303,83302,0.46577778,0.95878740
10,4,83303,101302,0.91561111,1.62112467
10,5,101303,119302,0.95038889,1.92311520
10,6,119303,137302,0.99505556,1.90470995
10,7,137303,155302,1.11527778,2.06057973
10,8,155303,173302,0.94855556,1.79441050
10,9,173303,191302,1.13344444,2.20939241
10,10,191303,209302,1.01000000,1.70528916
10,11,209303,227302,0.99944444,1.68595496
10,12,227303,245302,1.02055556,2.10256978
10,13,245303,263302,1.16111111,1.91280448
10,14,263303,281302,0.84316667,1.37328195
10,15,281303,299302,0.84472222,1.51688641
10,16,299303,317302,0.74211111,1.43408662
10,17,317303,335302,0.74311111,1.62114750
10,18,335303,353302,0.71205556,1.35680556
10,19,353303,371302,0.96988889,1.70632288
10,20,371303,389302,0.80205556,1.53763390
10,21,389303,407302,0.67927778,1.44832222
10,22,407303,425302,0.51238889,1.13908436
10,23,425303,443302,0.33816667,0.77748096
10,24,443303,461302,0.43261111,0.94552329
10,25,461303,479302,0.26472222,0.68652096
10,26,479303,497302,0.16633333,0.50793689
10,27,497303,515302,0.16577778,0.44903100
10,28,515303,533302,0.08511111,0.30764426
10,29,533303,551302,0.04205556,0.20912037
10,30,551303,569302,0.06450000,0.26813300
10,31,569303,587302,0.04522222,0.22050310
