frame,LF,RF,RH,LH
67937,1.0,-0.9494519829750061,1.0,-0.6118490099906921
67938,0.85030198097229,-1.0,0.8083410263061523,-0.8260319828987122
67939,0.6442599892616272,-0.6976420283317566,0.6231300234794617,-1.0
67940,0.5064129829406738,-0.3204909861087799,0.4595699906349182,-0.6981949806213379
67941,0.27763301134109497,0.1364549994468689,0.2694689929485321,-0.3034839928150177
67942,0.08719299733638763,0.4764310121536255,0.061097998172044754,-0.07151400297880173
67943,-0.1562879979610443,0.7148720026016235,-0.15162600576877594,0.29477599263191223
67944,-0.3769890069961548,0.8981099724769592,-0.37450799345970154,0.6170790195465088
67945,-0.59654301404953,1.0,-0.5959089994430542,1.0
67946,-1.0,0.6350569725036621,-0.9326549768447876,0.9255200028419495
67947,-0.8841879963874817,0.5516290068626404,-1.0,0.819130003452301
67948,-0.2618210017681122,0.4177919924259186,-0.6944829821586609,0.6645730137825012
67949,0.2586109936237335,0.1675409972667694,-0.8491730093955994,0.42606499791145325
67950,0.5412660241127014,-0.006022000219672918,-0.3672789931297302,0.24768899381160736
67951,0.6853749752044678,-0.23099499940872192,0.10017099976539612,0.03149399906396866
67952,0.7358599901199341,-0.5055170059204102,0.6053259968757629,-0.2446250021457672
67953,0.8182830214500427,-0.7823799848556519,0.9521880149841309,-0.5131769776344299
67954,1.0,-1.0,1.0,-0.7207509875297546
67955,0.8924880027770996,-0.9928699731826782,0.8124610185623169,-0.9573619961738586
67956,0.703760027885437,-0.5623970031738281,0.6279770135879517,-1.0
67957,0.5565270185470581,0.015165000222623348,0.48847898840904236,-0.4882330000400543
67958,0.3489609956741333,0.39206400513648987,0.3183020055294037,-0.1718589961528778
67959,0.15001100301742554,0.6188390254974365,0.1436470001935959,0.061223000288009644
67960,-0.038332998752593994,0.7690690159797668,-0.054065998643636703,0.3851040005683899
67961,-0.28141099214553833,0.8750839829444885,-0.23498499393463135,0.7010719776153564
67962,-0.5531960129737854,0.9779149889945984,-0.444023996591568,0.9830939769744873
67963,-0.8048220276832581,1.0,-0.6554809808731079,1.0
67964,-1.0,0.8656309843063354,-0.7680469751358032,0.8446279764175415
67965,-0.9618170261383057,0.6535720229148865,-0.9818199872970581,0.6451219916343689
67966,-0.35221999883651733,0.5004929900169373,-1.0,0.5197299718856812
67967,0.19275499880313873,0.27483001351356506,-0.6378059983253479,0.32797300815582275
67968,0.46882501244544983,0.11550799757242203,-0.24099600315093994,0.16336700320243835
67969,0.6407129764556885,-0.0935090035200119,0.14493699371814728,-0.009995999746024609
67970,0.8028720021247864,-0.3034549951553345,0.4801200032234192,-0.21295200288295746
67971,0.9452630281448364,-0.5230960249900818,0.8204219937324524,-0.42480701208114624
67972,1.0,-0.7878400087356567,1.0,-0.6539919972419739
67973,0.8373979926109314,-1.0,0.8651099801063538,-0.8333430290222168
67974,0.6631399989128113,-0.8634359836578369,0.7103350162506104,-1.0
67975,0.5245800018310547,-0.32539600133895874,0.5696380138397217,-0.9481220245361328
67976,0.3524610102176666,0.23653900623321533,0.41119900345802307,-0.4077320098876953
67977,0.16831299662590027,0.5237849950790405,0.24656499922275543,-0.034265998750925064
67978,-0.04363600164651871,0.6991490125656128,0.06397199630737305,0.30235499143600464
67979,-0.2578499913215637,0.8794490098953247,-0.12982000410556793,0.5362439751625061
67980,-0.5425739884376526,1.0,-0.36556899547576904,0.776095986366272
67981,-0.8050090074539185,0.9722549915313721,-0.5530840158462524,1.0
67982,-1.0,0.7274559736251831,-0.7547510266304016,0.9976109862327576
67983,-0.94063401222229,0.542602002620697,-0.9174690246582031,0.8051019906997681
67984,-0.22463099658489227,0.4002330005168915,-1.0,0.6578739881515503
67985,0.27070000767707825,0.23997899889945984,-0.8534200191497803,0.46347498893737793
67986,0.5795930027961731,0.026364000514149666,-0.3646889925003052,0.33620399236679077
67987,0.6701120138168335,-0.17010200023651123,0.11291900277137756,0.1471399962902069
67988,0.7833430171012878,-0.3530479967594147,0.5276640057563782,-0.04108300060033798
67989,0.905601978302002,-0.5799350142478943,0.8433629870414734,-0.2642340064048767
67990,1.0,-0.7968299984931946,1.0,-0.467849999666214
67991,0.8655449748039246,-1.0,0.8528900146484375,-0.6412479877471924
67992,0.7007550001144409,-0.9177039861679077,0.7379980087280273,-0.8235489726066589
67993,0.5311669707298279,-0.43316999077796936,0.5721219778060913,-1.0
67994,0.37397900223731995,0.13519300520420074,0.429392009973526,-0.9718520045280457
67995,0.20546899735927582,0.5126180052757263,0.28275901079177856,-0.40346598625183105
67996,-0.019102999940514565,0.7419660091400146,0.08304700255393982,0.060182999819517136
67997,-0.23495399951934814,0.8968619704246521,-0.09610000252723694,0.5012350082397461
67998,-0.5259820222854614,0.9827479720115662,-0.3452779948711395,0.797577977180481
67999,-0.8481119871139526,1.0,-0.5693860054016113,1.0
68000,-1.0,0.7826489806175232,-0.7608979940414429,0.8948869705200195
68001,-0.7917140126228333,0.6184560060501099,-0.8685789704322815,0.7153859734535217
68002,-0.07716400176286697,0.4174560010433197,-1.0,0.5224699974060059
68003,0.3704589903354645,0.17554999887943268,-0.8843430280685425,0.29306599497795105
68004,0.6305509805679321,-0.031168999150395393,-0.35470500588417053,0.1428460031747818
68005,0.7427089810371399,-0.26371100544929504,0.14348000288009644,-0.08120200037956238
68006,0.9248120188713074,-0.5245270133018494,0.49493399262428284,-0.3228110074996948
68007,1.0,-0.7588340044021606,0.7981489896774292,-0.5362799763679504
68008,0.8827620148658752,-0.9848629832267761,1.0,-0.731971025466919
68009,0.6585800051689148,-1.0,0.7962610125541687,-0.8918610215187073
68010,0.4947350025177002,-0.4628469944000244,0.6812000274658203,-1.0
68011,0.31199899315834045,0.20144200325012207,0.5332739949226379,-0.6068069934844971
68012,0.12410099804401398,0.558010995388031,0.3801960051059723,-0.056703001260757446
68013,-0.05572199821472168,0.8033940196037292,0.23626700043678284,0.31694599986076355
68014,-0.2885049879550934,0.9620630145072937,0.043460000306367874,0.5261430144309998
68015,-0.5411990284919739,1.0029690265655518,-0.17208899557590485,0.7462850213050842
68016,-0.779358983039856,1.0,-0.37611299753189087,0.9272680282592773
68017,-1.0,0.7915899753570557,-0.5770249962806702,1.0
68018,-0.7805579900741577,0.5886539816856384,-0.7299669981002808,0.8362870216369629
68019,-0.25723400712013245,0.40696001052856445,-0.8849930167198181,0.6721450090408325
